"нано-антибактериальный";"нано-антибактериальный";1
"нано-антибактериальный";"антибактериальный";1
"противогрибковый";"противогрибковый";1
"противогрибковый";"антигрибковый";1
"мультисплит-система";"мультисплит-система";1
"мультисплит-система";"мультисплит";1
"маслоулавливающий";"маслоулавливающий";1
"маслоулавливающий";"маслофильтр";1
"Инверторное управление мощностью";"Инверторное управление мощностью";1
"Инверторное управление мощностью";"Инверторное управление";1
"Таймер";"Таймер";1
"Таймер";"Отсчет времени";1
"мобильный моноблок";"мобильный моноблок";1
"мобильный моноблок";"мобильный блок";1
"самоочистка";"самоочистка";1
"самоочистка";"очистка";1
"Тип хладагента";"Тип хладагента";1
"Тип хладагента";"Вид хладагента";1
"Режим вентиляции";"Режим вентиляции";1
"Режим вентиляции";"Вентиляция";1
"серебряный фильтр";"серебряный фильтр";1
"серебряный фильтр";"серебросодержащий фильтр";1
"Регулировка скорости вращения вентилятора";"Регулировка скорости вращения вентилятора";1
"Регулировка скорости вращения вентилятора";"Регулируемая скорость вентилятора";1
"Тип";"Тип";1
"Тип";"Вид";1
"сенсор чистоты воздуха";"сенсор чистоты воздуха";1
"сенсор чистоты воздуха";"сенсор загрязнения воздуха";1
"самозащита";"самозащита";1
"самозащита";"модуль защиты";1
"бежевый";"бежевый";1
"бежевый";"светло-бежевый";1
"бежевый";"темно-бежевый";1
"нано-титановый фильтр";"нано-титановый фильтр";1
"нано-титановый фильтр";"титановый фильтр";1
"пылеулавливающий фильтр";"пылеулавливающий фильтр";1
"пылеулавливающий фильтр";"пылефильтр";1
"Мощность в режиме охлаждения";"Мощность в режиме охлаждения";1
"Мощность в режиме охлаждения";"Мощность при охлаждении";1
"Fuzzy logic";"Fuzzy logic";1
"Fuzzy logic";"Нечеткая логика";1
"Максимальный воздушный поток";"Максимальный воздушный поток";1
"Максимальный воздушный поток";"Максимальный поток";1
"Автоматический режим";"Автоматический режим";1
"Автоматический режим";"Авторежим";1
"Nano-Photo Copper фильтр";"Nano-Photo Copper фильтр";1
"Nano-Photo Copper фильтр";"Нано-фото медный фильтр";1
"есть";"есть";1
"есть";"в наличии";1
"настенная";"настенная";1
"настенная";"крепление на стену";1
"фильтр БиоЭнзим + Гинкго";"фильтр БиоЭнзим + Гинкго";1
"фильтр БиоЭнзим + Гинкго";"фильтр Гинкго-БиоЭнзим";1
"био энзимный фильтр";"био энзимный фильтр";1
"био энзимный фильтр";"биофильтр";1
"красный";"красный";1
"красный";"светло-красный";1
"красный";"темно-красный";1
"самодиагностика";"самодиагностика";1
"самодиагностика";"самопроверка";1
"Супер Цеолитный фильтр с витамином С";"Супер Цеолитный фильтр с витамином С";1
"Супер Цеолитный фильтр с витамином С";"Суперфильтр с витамином С";1
"Режим сон";"Режим сон";1
"Режим сон";"Режим сна";1
"криокаталитический фильтр";"криокаталитический фильтр";1
"криокаталитический фильтр";"криофильтр";1
"SUPER STERILIZER фильтр";"SUPER STERILIZER фильтр";1
"SUPER STERILIZER фильтр";"STERILIZER";1
"генератор анионов";"генератор анионов";1
"генератор анионов";"анионо-генератор";1
"плазменный фильтр";"плазменный фильтр";1
"плазменный фильтр";"плазмофильтр";1
"ионный фильтр";"ионный фильтр";1
